query,optimizer,loop,join_order,prep_time,exec_time,total_time
30c.sql,DuckDB,NULL,10-3-7-4-9-6-8-5-1-0-2-11,2.988,34423,34426
6f.sql,DuckDB,NULL,4-2-1-3-0,0.565,2847.2,2847.78
22b.sql,DuckDB,NULL,7-2-9-4-6-0-1-10-5-8-3,3.242,32584.5,32587.8
24b.sql,DuckDB,NULL,2-1-10-9-0-11-8-7-6-5-4-3,3.163,32882.6,32885.7
6d.sql,DuckDB,NULL,4-2-1-3-0,0.696,416.948,417.66
17d.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.744,1351.3,1354.06
13b.sql,DuckDB,NULL,6-3-5-0-1-8-7-4-2,2.949,272.693,275.658
17e.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.719,3315.68,3318.41
5a.sql,DuckDB,NULL,4-3-2-1-0,0.717,32060,32060.7
15d.sql,DuckDB,NULL,6-3-7-4-5-1-2-8-0,2.841,2558.72,2561.58
16a.sql,DuckDB,NULL,6-0-1-7-5-4-3-2,4.222,4688.23,4692.48
11c.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,3.365,200.574,203.958
10a.sql,DuckDB,NULL,6-4-3-2-5-1-0,3.197,1048.69,1051.91
11a.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.88,172.809,175.706
5c.sql,DuckDB,NULL,4-3-2-1-0,0.69,33227.3,33228.1
29b.sql,DuckDB,NULL,5-4-15-14-0-8-13-11-7-12-9-10-6-2-1-3-16,3.776,29199.9,29203.7
8a.sql,DuckDB,NULL,6-5-3-2-4-1-0,2.898,632.63,635.543
12a.sql,DuckDB,NULL,5-2-4-0-1-7-6-3,2.553,31984.2,31986.7
14c.sql,DuckDB,NULL,4-0-7-6-5-3-2-1,2.573,32706.1,32708.7
19a.sql,DuckDB,NULL,2-1-8-7-0-9-6-5-4-3,3.143,32620.5,32623.6
16c.sql,DuckDB,NULL,6-0-1-7-5-4-3-2,2.968,4873.14,4876.12
4b.sql,DuckDB,NULL,4-3-2-1-0,0.74,121.561,122.319
33a.sql,DuckDB,NULL,7-0-12-4-9-2-11-6-10-3-13-5-8-1,4.186,257.362,261.567
3a.sql,DuckDB,NULL,3-2-1-0,0.52,32288.2,32288.8
1b.sql,DuckDB,NULL,4-3-2-1-0,0.63,436.224,436.871
18a.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.968,36735.4,36738.4
15b.sql,DuckDB,NULL,6-3-7-4-5-1-2-8-0,3.184,28223.8,28227
23c.sql,DuckDB,NULL,8-4-9-5-7-2-3-10-6-1-0,3.118,31857.7,31860.9
26b.sql,DuckDB,NULL,4-3-10-9-6-11-7-8-5-1-0-2,3.307,789.15,792.474
19c.sql,DuckDB,NULL,2-1-8-7-0-9-6-5-4-3,3.196,32757.4,32760.7
17f.sql,DuckDB,NULL,6-4-3-2-1-5-0,2.786,2095.53,2098.34
