query,optimizer,loop,join_order,prep_time,exec_time,total_time
30c.sql,Max20Stop5,20,8-3-10-7-4-0-1-2-5-9-6-11-,38.445,30991.4,31045.8
6f.sql,Max20Stop5,20,1-2-0-4-3-,9.487,1368.97,1388.23
22b.sql,Max20Stop5,20,9-8-3-7-2-6-0-1-4-10-5-,25.601,29982.5,30016.1
24b.sql,Max20Stop5,20,3-6-7-4-2-0-1-9-10-8-5-11-,26.359,28919.2,28956.8
6d.sql,Max20Stop5,20,1-2-4-0-3-,9.695,1832.44,1844.14
17d.sql,Max20Stop5,20,5-0-6-3-1-4-2-,10.163,870.943,890.039
13b.sql,Max20Stop5,20,8-6-3-7-2-5-1-0-4-,15.506,299.508,319.066
17e.sql,Max20Stop5,20,4-2-0-5-3-1-6-,9.391,1941.4,1959.92
5a.sql,Max20Stop5,20,0-2-3-4-1-,8.975,122.278,132.627
15d.sql,Max20Stop5,20,5-1-0-2-6-3-7-4-8-,15.034,628.806,653.893
16a.sql,Max20Stop5,20,5-3-1-0-6-4-2-7-,13.013,2510.55,2528.66
11c.sql,Max20Stop5,20,4-5-2-0-1-6-3-7-,15.165,789.701,811.575
10a.sql,Max20Stop5,20,1-5-0-4-2-3-6-,11.796,953.382,972.457
11a.sql,Max20Stop5,20,1-4-6-3-0-5-2-7-,15.273,165.742,182.506
5c.sql,Max20Stop5,20,3-1-4-2-0-,9.184,28563.6,28575.2
29b.sql,Max20Stop5,20,12-10-6-11-7-5-4-0-13-15-14-8-1-2-9-3-16-,38.797,48855.1,48950.2
8a.sql,Max20Stop5,20,0-4-1-5-3-2-6-,14.434,622.829,642.855
12a.sql,Max20Stop5,20,1-4-6-3-0-5-2-7-,15.67,28926.3,28943.5
14c.sql,Max20Stop5,20,5-6-2-4-0-1-7-3-,16.461,29759.8,29778.8
19a.sql,Max20Stop5,20,0-7-2-1-5-3-6-4-8-9-,19.986,29576.1,29600.2
16c.sql,Max20Stop5,20,4-5-3-1-0-6-2-7-,12.882,7086.12,7103.4
4b.sql,Max20Stop5,20,0-2-4-3-1-,7.469,80.982,88.527
33a.sql,Max20Stop5,20,7-9-2-0-11-10-3-8-1-6-13-5-12-4-,29.258,567.972,602.923
3a.sql,Max20Stop5,20,0-2-1-3-,7.659,28742.8,28752.2
1b.sql,Max20Stop5,20,1-3-4-2-0-,7.331,99.08,106.494
18a.sql,Max20Stop5,20,5-0-6-3-1-4-2-,12.339,29088,29153.4
15b.sql,Max20Stop5,20,2-5-6-3-0-1-7-4-8-,19.953,25527.8,25555.4
23c.sql,Max20Stop5,20,9-7-3-2-8-4-0-1-5-10-6-,21.919,30678.7,30727.9
26b.sql,Max20Stop5,20,6-9-0-1-2-4-3-10-8-5-11-7-,25.488,732.634,761.623
19c.sql,Max20Stop5,20,0-7-2-1-5-3-6-4-8-9-,19.149,28949.9,28978.1
17f.sql,Max20Stop5,20,3-4-2-0-5-1-6-,10.981,5020.4,5036.75
27c.sql,Max20Stop5,20,5-9-7-3-4-8-0-1-2-10-6-11-,26.45,28337,28366.7
6c.sql,Max20Stop5,20,3-0-2-4-1-,7.646,373.431,386.762
28a.sql,Max20Stop5,20,9-4-3-10-5-11-6-12-7-0-1-2-13-8-,32.292,29482.8,29524.4
32a.sql,Max20Stop5,20,5-3-1-4-2-0-,8.949,376.365,388.573
11d.sql,Max20Stop5,20,2-5-7-4-0-1-6-3-,14.633,315.218,336.128
19d.sql,Max20Stop5,20,0-7-2-1-5-3-6-4-8-9-,18.196,4640.87,4680.71
4c.sql,Max20Stop5,20,2-4-3-1-0-,7.433,559.131,568.512
26a.sql,Max20Stop5,20,5-8-0-1-2-4-3-10-9-6-11-7-,25.645,1359.99,1398.96
10c.sql,Max20Stop5,20,1-5-0-4-3-2-6-,11.45,971.683,993.27
5b.sql,Max20Stop5,20,1-3-4-2-0-,8.116,27917.1,27926.3
