query,optimizer,loop,join_order,prep_time,exec_time,total_time
30c.sql,A,20,7-0-1-2-3-10-4-8-5-9-6-11-,38.396,30745.8,30798.5
6f.sql,A,20,0-3-4-2-1-,9.445,24194.4,24216.6
22b.sql,A,20,1-6-7-2-0-8-3-9-4-10-5-,25.214,29088.4,29122.6
24b.sql,A,20,6-3-2-0-1-9-10-7-4-8-5-11-,26.395,28845.7,28882.8
6d.sql,A,20,0-3-4-2-1-,9.744,459.84,477.417
17d.sql,A,20,1-3-6-0-5-4-2-,10.23,11870.3,11891.2
13b.sql,A,20,5-6-3-1-0-7-2-8-4-,15.615,2396.23,2416.4
17e.sql,A,20,1-3-6-0-5-4-2-,9.817,147325,147350
5a.sql,A,20,0-2-3-1-4-,9.715,120.246,131.478
15d.sql,A,20,2-5-6-3-0-1-7-4-8-,15.941,610.168,636.857
16a.sql,A,20,6-0-1-5-3-4-2-7-,13.539,35358.5,35382.1
11c.sql,A,20,6-3-5-2-4-0-1-7-,15.638,301.269,323.589
10a.sql,A,20,1-5-0-4-2-3-6-,11.897,994.199,1015.2
11a.sql,A,20,3-6-7-5-2-4-0-1-,15.314,149.952,166.054
5c.sql,A,20,0-2-3-1-4-,9.488,28588.8,28600.4
29b.sql,A,20,16-10-6-11-7-5-4-0-13-15-12-9-14-8-1-2-3-,38.054,25939.7,25986.3
8a.sql,A,20,1-4-0-3-2-5-6-,12.688,621.298,640.52
12a.sql,A,20,7-4-0-1-5-2-6-3-,14.738,27813.4,27829.8
14c.sql,A,20,5-6-2-4-0-1-7-3-,16.189,28783.8,28803.1
19a.sql,A,20,0-2-5-3-1-6-4-8-9-7-,20.372,28924.3,28950.2
16c.sql,A,20,5-3-1-0-6-4-2-7-,13.381,2700.62,2721.21
4b.sql,A,20,0-2-3-1-4-,7.531,87.296,95.611
33a.sql,A,20,6-11-7-9-2-10-3-8-1-12-4-0-13-5-,29.244,451.227,489.353
3a.sql,A,20,0-2-3-1-,7.749,28086,28095.6
1b.sql,A,20,0-2-3-1-4-,7.501,162.856,173.088
18a.sql,A,20,1-3-6-0-5-4-2-,12.102,28693.8,28712.2
15b.sql,A,20,5-1-0-2-6-3-7-4-8-,17.067,25021.4,25044.4
23c.sql,A,20,2-7-3-0-1-8-4-9-5-10-6-,20.72,27880.4,27909.6
26b.sql,A,20,4-3-0-1-2-8-5-9-6-10-11-7-,25.072,992.513,1026.99
19c.sql,A,20,0-2-5-3-1-6-4-8-9-7-,18.966,29353.1,29380.3
17f.sql,A,20,5-0-6-3-1-4-2-,10.572,37096.1,37115.3
27c.sql,A,20,5-9-7-3-4-8-0-1-2-10-6-11-,26.083,28268.5,28297.7
6c.sql,A,20,0-3-4-2-1-,7.758,373.232,385.43
28a.sql,A,20,7-12-11-6-10-5-9-3-4-0-1-2-13-8-,31.554,28700.6,28735.4
32a.sql,A,20,4-2-3-1-5-0-,9.038,540.34,554.919
11d.sql,A,20,5-6-3-4-0-1-2-7-,14.799,584.762,604.977
19d.sql,A,20,0-2-5-3-1-6-4-8-9-7-,18.421,10761,10799.4
4c.sql,A,20,0-2-3-1-4-,7.917,231.996,242.656
26a.sql,A,20,3-4-8-5-0-1-2-9-6-10-11-7-,25.366,1172.91,1209.59
10c.sql,A,20,1-5-0-4-3-2-6-,11.642,982.516,1001.76
5b.sql,A,20,0-2-3-1-4-,8.193,102.466,111.369
9b.sql,A,20,4-7-2-0-1-5-6-3-,15.496,830.797,851.561
10b.sql,A,20,1-5-0-4-2-3-6-,11.933,899.863,916.349
6a.sql,A,20,0-3-4-2-1-,7.792,389.327,402.423
30a.sql,A,20,4-7-0-1-2-3-10-8-5-9-6-11-,27.92,29149.5,29186.2
23b.sql,A,20,1-0-8-4-7-3-2-9-5-10-6-,21.927,24900.5,24929.9
31a.sql,A,20,7-0-9-6-2-5-1-3-8-4-10-,25.824,29276.9,29322.4
8b.sql,A,20,1-4-0-3-2-5-6-,13.512,517.544,533.151
2d.sql,A,20,0-2-3-1-4-,6.732,464.746,476.881
15a.sql,A,20,2-5-6-3-0-1-7-4-8-,16.16,25168.9,25192
15c.sql,A,20,5-1-0-2-6-3-7-4-8-,16.056,27956.1,27979.6
33c.sql,A,20,8-10-3-1-11-9-2-7-6-12-4-0-13-5-,30.388,555.562,595.534
2c.sql,A,20,0-2-3-1-4-,7.335,187.062,199.844
21a.sql,A,20,0-4-7-3-1-5-6-2-8-,19.433,28348.3,28374.1
17a.sql,A,20,1-3-6-0-5-4-2-,11.281,20931.3,20951.2
13c.sql,A,20,8-6-3-7-2-5-1-0-4-,15.36,250.178,269.722
31b.sql,A,20,7-0-9-6-2-5-1-3-8-4-10-,26.037,29049.2,29086.4
20c.sql,A,20,0-4-3-8-1-2-7-5-9-6-,20.191,1864.07,1900.69
7b.sql,A,20,7-4-1-0-5-6-2-3-,15.223,662.192,678.608
21c.sql,A,20,0-4-7-3-1-5-6-2-8-,19.137,28633.5,28660.5
7c.sql,A,20,3-4-7-1-5-0-6-2-,19.616,16666,16698.5
25b.sql,A,20,3-6-0-7-4-1-5-2-8-,22.312,29129.5,29157.4
9d.sql,A,20,6-2-4-3-0-1-5-7-,14.47,1464.39,1492.12
28c.sql,A,20,12-11-6-10-5-9-3-4-7-0-1-2-13-8-,35.623,31310.2,31353.9
14a.sql,A,20,1-5-7-3-4-0-6-2-,16.619,28549.1,28570.8
25a.sql,A,20,3-6-0-7-4-1-5-2-8-,19.221,28586.8,28614.9
12c.sql,A,20,7-4-0-1-5-2-6-3-,15.073,28067.9,28085.7
16d.sql,A,20,5-3-1-0-6-4-2-7-,12.941,2687.14,2707.74
20a.sql,A,20,0-4-3-8-1-2-7-5-9-6-,18.622,1238.39,1270.05
6e.sql,A,20,0-3-4-2-1-,7.241,451.078,464.994
3c.sql,A,20,0-2-3-1-,6.993,28436.2,28446.1
8c.sql,A,20,1-4-0-3-2-5-6-,10.17,12380.5,12400.2
11b.sql,A,20,5-6-3-4-0-1-2-7-,15.39,146.518,163.635
21b.sql,A,20,8-6-2-5-7-3-4-0-1-,17.091,27818.6,27838.5
19b.sql,A,20,0-2-5-3-1-6-4-8-9-7-,18.86,28463.3,28486
24a.sql,A,20,9-0-2-1-6-3-7-4-8-5-10-11-,24.941,28665.9,28703.6
1a.sql,A,20,0-2-3-1-4-,8.549,300.062,314.757
23a.sql,A,20,4-8-0-1-7-3-2-9-5-10-6-,21.166,27953.8,27985
29c.sql,A,20,12-10-6-11-7-5-4-0-13-15-14-8-1-2-9-3-16-,38.83,60442.2,60545.3
22a.sql,A,20,3-8-6-0-1-7-2-9-4-10-5-,27.645,31012.2,31045.1
26c.sql,A,20,9-0-1-2-4-3-10-8-5-6-11-7-,26.494,23485.2,23520.8
27a.sql,A,20,2-0-7-3-4-1-8-9-5-10-6-11-,26.449,30125.9,30157
17c.sql,A,20,1-3-6-0-5-4-2-,10.996,11389.9,11404.9
30b.sql,A,20,7-0-1-2-3-10-4-8-5-9-6-11-,29.32,30636,30672
3b.sql,A,20,0-2-3-1-,6.211,29840.7,29848
18b.sql,A,20,1-3-6-0-5-4-2-,14.601,30597.7,30614.1
33b.sql,A,20,11-7-9-2-10-3-8-1-6-12-4-0-13-5-,29.692,422.542,458.724
1c.sql,A,20,0-2-3-1-4-,8.297,131.923,141.973
31c.sql,A,20,2-6-5-1-0-9-7-3-8-4-10-,27.516,29800.6,29837.7
28b.sql,A,20,7-12-11-6-10-5-9-3-4-0-1-2-13-8-,33.32,28783.1,28819.5
7a.sql,A,20,4-7-1-0-5-6-2-3-,15.227,1273.6,1290.8
4a.sql,A,20,0-2-3-1-4-,7.452,182.665,192.218
16b.sql,A,20,4-5-3-1-0-6-2-7-,12.271,7202.09,7219.7
18c.sql,A,20,1-3-6-0-5-4-2-,14.952,29596.7,29616
20b.sql,A,20,0-4-3-8-1-2-7-5-9-6-,20.479,1011.45,1035.15
9a.sql,A,20,7-4-2-0-1-5-6-3-,15.61,1145.2,1167.27
22c.sql,A,20,2-7-8-3-6-0-1-9-4-10-5-,26.245,29078.6,29109.2
22d.sql,A,20,2-7-8-3-6-0-1-9-4-10-5-,25.026,29622,29651.2
2b.sql,A,20,0-2-3-1-4-,6.921,225.753,235.872
8d.sql,A,20,1-4-0-3-2-5-6-,10.293,11346.1,11361.3
32b.sql,A,20,4-2-3-1-5-0-,8.713,527.014,541.11
9c.sql,A,20,4-7-2-0-1-5-6-3-,15.184,2160.79,2186.27
12b.sql,A,20,3-6-7-5-2-4-0-1-,15.016,27622,27637.8
17b.sql,A,20,1-3-6-0-5-4-2-,10.405,13881.3,13894
1d.sql,A,20,0-2-3-1-4-,7.129,174.094,183.202
27b.sql,A,20,9-7-3-4-8-0-1-2-5-10-6-11-,24.266,28585,28615.9
13a.sql,A,20,8-6-3-7-2-5-1-0-4-,15.636,30113.5,30133.3
25c.sql,A,20,8-0-7-4-1-5-2-6-3-,21.15,30027,30057.4
6b.sql,A,20,0-3-4-2-1-,9.502,385.599,399.291
2a.sql,A,20,0-2-3-1-4-,6.877,249.449,259.818
13d.sql,A,20,8-6-3-7-2-5-1-0-4-,14.958,2625.72,2644.51
29a.sql,A,20,12-10-6-11-7-5-4-0-13-15-14-8-1-2-9-3-16-,39.5,58464.5,58557.5
14b.sql,A,20,4-6-2-0-5-1-7-3-,19.647,30632,30653.2
30c.sql,A,20,5-8-3-10-7-4-0-1-2-9-6-11-,38.369,30860,30911.5
6f.sql,A,20,0-3-4-2-1-,9.615,23988.8,24011.7
22b.sql,A,20,1-6-7-2-0-8-3-9-4-10-5-,24.978,29065.9,29099.6
24b.sql,A,20,7-2-0-1-9-10-6-3-4-8-5-11-,26.677,29095.3,29134.7
6d.sql,A,20,0-3-4-2-1-,9.515,446.335,462.164
17d.sql,A,20,1-3-6-0-5-4-2-,10.266,11827.4,11845.7
13b.sql,A,20,8-6-3-7-2-5-1-0-4-,15.732,277.699,294.94
17e.sql,A,20,1-3-6-0-5-4-2-,9.727,148761,148784
5a.sql,A,20,0-2-3-1-4-,9.706,120.272,131.313
15d.sql,A,20,5-1-0-2-6-3-7-4-8-,15.787,622.275,646.738
16a.sql,A,20,4-5-3-1-0-6-2-7-,13.645,7089.31,7107.79
11c.sql,A,20,5-6-3-4-0-1-2-7-,15.256,438.676,458.393
10a.sql,A,20,1-5-0-4-2-3-6-,11.787,972.054,990.465
11a.sql,A,20,5-6-3-4-0-1-2-7-,15.09,188.703,205.94
5c.sql,A,20,0-2-3-1-4-,9.408,28470.4,28481.7
29b.sql,A,20,12-10-6-11-7-5-4-0-13-15-14-8-1-2-9-3-16-,38.221,48734.8,48823.8
8a.sql,A,20,1-4-0-3-2-5-6-,14.488,625.853,646.556
12a.sql,A,20,7-4-0-1-5-2-6-3-,15.579,28845.3,28862.8
14c.sql,A,20,5-6-2-4-0-1-7-3-,16.697,29736.4,29755.8
19a.sql,A,20,0-2-5-3-1-6-4-8-9-7-,20.126,29927.3,29951.7
16c.sql,A,20,5-3-1-0-6-4-2-7-,13.407,2653.59,2671.53
4b.sql,A,20,0-2-3-1-4-,7.664,88.003,96.552
33a.sql,A,20,11-7-9-2-10-3-8-1-6-12-4-0-13-5-,29.323,449.907,484.719
3a.sql,A,20,0-2-3-1-,7.793,28534.7,28544.6
1b.sql,A,20,0-2-3-1-4-,7.579,156.307,165.537
18a.sql,A,20,4-2-3-1-0-5-6-,12.207,28663.5,28679.5
15b.sql,A,20,5-1-0-2-6-3-7-4-8-,17.029,24814.7,24834.2
23c.sql,A,20,4-8-0-1-7-3-2-9-5-10-6-,20.653,27775.1,27800.3
26b.sql,A,20,9-0-1-2-4-3-10-8-5-6-11-7-,24.823,22842.4,22872.5
19c.sql,A,20,0-2-5-3-1-6-4-8-9-7-,19.686,29384.2,29408.2
17f.sql,A,20,5-0-6-3-1-4-2-,10.394,36822,36835.9
27c.sql,A,20,8-0-1-2-7-3-4-9-5-10-6-11-,26.347,28448.6,28479.1
6c.sql,A,20,0-3-4-2-1-,7.719,342.074,350.896
28a.sql,A,20,7-12-11-6-10-5-9-3-4-0-1-2-13-8-,31.319,28657,28691.6
32a.sql,A,20,5-3-1-4-2-0-,8.844,392.588,406.544
11d.sql,A,20,5-6-3-4-0-1-2-7-,14.328,595.682,617.145
19d.sql,A,20,0-2-5-3-1-6-4-8-9-7-,18.241,10644.8,10683.9
4c.sql,A,20,0-2-3-1-4-,7.792,239.042,249.581
26a.sql,A,20,5-8-0-1-2-4-3-10-9-6-11-7-,25.325,1362.8,1401.52
10c.sql,A,20,1-5-0-4-3-2-6-,11.562,1008.52,1030.14
5b.sql,A,20,0-2-3-1-4-,8.242,100.642,109.625
9b.sql,A,20,4-7-2-0-1-5-6-3-,15.406,845.524,867.945
10b.sql,A,20,1-5-0-4-2-3-6-,12.022,930.503,950.632
6a.sql,A,20,0-3-4-2-1-,7.77,389.334,402.429
30a.sql,A,20,3-7-4-0-1-2-8-5-9-6-10-11-,27.577,28930.5,28971.9
23b.sql,A,20,10-8-4-6-9-5-7-3-2-0-1-,21.565,24963,24993.1
31a.sql,A,20,6-5-1-0-9-2-7-3-8-4-10-,26.167,29026.7,29066.5
8b.sql,A,20,1-4-0-3-2-5-6-,13.795,517.618,533.522
2d.sql,A,20,0-2-3-1-4-,6.883,465.786,476.217
15a.sql,A,20,5-1-0-2-6-3-7-4-8-,16.529,24798,24817.5
15c.sql,A,20,2-5-6-3-0-1-7-4-8-,16.143,27886.7,27908.6
33c.sql,A,20,9-2-7-0-11-10-3-8-1-6-13-5-12-4-,29.954,562.706,598.435
2c.sql,A,20,0-2-3-1-4-,7.332,166.344,177.004
21a.sql,A,20,3-7-4-0-1-5-6-2-8-,19.334,28172.4,28194.4
17a.sql,A,20,1-3-6-0-5-4-2-,11.217,21067.1,21084
13c.sql,A,20,8-6-3-7-2-5-1-0-4-,15.524,224.336,241.302
31b.sql,A,20,5-1-0-9-6-2-7-3-8-4-10-,25.963,28781.8,28814.9
20c.sql,A,20,0-4-3-8-1-2-7-5-9-6-,19.696,1813.88,1845.81
7b.sql,A,20,7-4-1-0-5-6-2-3-,15.369,655.668,672.107
21c.sql,A,20,3-7-4-0-1-5-6-2-8-,19.313,28620.5,28646.6
7c.sql,A,20,3-4-7-1-5-0-6-2-,19.607,16606.6,16639.1
25b.sql,A,20,6-0-7-4-1-5-2-3-8-,21.922,30435.3,30466.4
9d.sql,A,20,2-4-3-0-1-5-6-7-,14.565,1913.28,1941.18
28c.sql,A,20,13-10-5-8-12-7-11-6-9-3-4-0-1-2-,35.751,29339.7,29383.5
14a.sql,A,20,5-6-2-4-0-1-7-3-,16.451,28660.1,28679.3
25a.sql,A,20,3-6-0-7-4-1-5-2-8-,19.937,28534,28563.8
12c.sql,A,20,6-3-5-2-4-0-1-7-,15.038,28226.6,28246
16d.sql,A,20,4-5-3-1-0-6-2-7-,12.96,7068.23,7088.37
20a.sql,A,20,0-4-3-8-1-2-7-5-9-6-,19.698,1221.52,1253.6
6e.sql,A,20,0-3-4-2-1-,7.549,442.74,457.313
3c.sql,A,20,0-2-3-1-,6.974,28395.9,28405.9
8c.sql,A,20,1-4-0-3-2-5-6-,10.448,12326.9,12347.1
11b.sql,A,20,7-4-0-1-6-3-5-2-,15.389,92.896,108.468
21b.sql,A,20,8-6-2-5-7-3-4-0-1-,17.02,27790,27810.2
19b.sql,A,20,0-2-5-3-1-6-4-8-9-7-,18.874,28447.9,28470.8
24a.sql,A,20,6-3-2-0-1-9-10-7-4-8-5-11-,25.184,29021.7,29057.5
1a.sql,A,20,0-2-3-1-4-,8.488,293.901,308.016
23a.sql,A,20,4-8-0-1-7-3-2-9-5-10-6-,21.399,28044.1,28073.5
29c.sql,A,20,9-12-10-6-11-7-5-4-0-13-15-14-8-1-2-3-16-,39.921,28823.4,28873.3
22a.sql,A,20,1-6-7-2-0-8-3-9-4-10-5-,23.594,28686.8,28717.5
26c.sql,A,20,5-8-0-1-2-4-3-10-9-6-11-7-,24.506,1952.96,1985.87
27a.sql,A,20,9-7-3-4-8-0-1-2-5-10-6-11-,24.39,28717.4,28749.3
17c.sql,A,20,1-3-6-0-5-4-2-,10.493,11631.3,11650.9
30b.sql,A,20,3-7-4-0-1-2-8-5-9-6-10-11-,27.875,28923.2,28961.2
3b.sql,A,20,0-2-3-1-,6.125,27706.3,27713.3
18b.sql,A,20,5-0-6-3-1-4-2-,12.951,28681.8,28696.1
